state,hate_crime_2016,hate_crime_2017,population ,median_income,poverty,hs_diploma,foreignborn,non_white,college_degree,unemployed,election_result,white_poverty,christian,gun_law,men_to_women,gay_marriage,policing,trump_voters,gini_index,metro_population
Rhode Island,1.14E-05,1.04E-05,1059361,71169,0.108,0.893,0.137,0.213,0.348,0.054,blue,0.08,0.75,3,95.3,5,430,0.4,0.467,1
South Carolina,4.66E-06,1.74E-05,5148714,56227,0.138,0.883,0.056,0.333,0.296,0.057,red,0.09,0.78,3,94.4,3,261,0.55,0.461,0.79
South Dakota,2.29E-05,2.13E-05,884659,59533,0.119,0.921,0.041,0.159,0.297,0.035,red,0.08,0.79,4,101.9,1,241,0.62,0.442,0.51
Tennessee,2.13E-05,2.03E-05,6829174,56071,0.139,0.88,0.055,0.228,0.287,0.057,red,0.13,0.81,4,95.2,1,295,0.61,0.468,0.82
Texas,6.39E-06,6.76E-06,28995881,64034,0.136,0.846,0.171,0.266,0.308,0.042,red,0.08,0.77,4,98.6,1,290,0.53,0.469,0.92
Utah,2.19E-05,2.55E-05,3205958,75780,0.089,0.93,0.086,0.127,0.348,0.036,red,0.08,0.73,4,101.5,3,240,0.47,0.419,0.82
Vermont,4.00E-05,5.45E-05,623989,63001,0.102,0.931,0.047,0.062,0.387,0.037,blue,0.1,0.54,5,96.8,5,350,0.33,0.444,0.35
Virginia,1.45E-05,2.28E-05,8535519,76456,0.099,0.9,0.127,0.33,0.396,0.043,blue,0.07,0.73,4,96.9,3,298,0.45,0.459,0.89
Washington,5.31E-05,6.90E-05,7614893,78687,0.098,0.917,0.149,0.258,0.368,0.052,blue,0.09,0.61,3,100,5,277,0.38,0.441,0.86
West Virginia,2.53E-05,1.95E-05,1792147,48850,0.16,0.871,0.016,0.069,0.211,0.073,red,0.14,0.78,5,98.2,3,217,0.69,0.451,0.55
Wisconsin,6.01E-06,7.98E-06,5822434,64168,0.104,0.928,0.051,0.148,0.313,0.043,red,0.09,0.71,4,98.9,3,322,0.48,0.43,0.69
Wyoming,5.39E-06,7.23E-06,578759,65003,0.101,0.945,0.031,0.091,0.291,0.04,red,0.09,0.71,5,102.6,3,387,0.7,0.423,0.31
